areaCode,areaNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
11,서울특별시,2,화요일,1,현지인(a),3561173.0,20190101
42,강원도,2,화요일,2,외지인(b),562047.5,20190101
42,강원도,2,화요일,3,외국인(c),4538.264486730825,20190101
43,충청북도,2,화요일,1,현지인(a),609301.0,20190101
43,충청북도,2,화요일,2,외지인(b),248906.0,20190101
43,충청북도,2,화요일,3,외국인(c),1315.3826700898596,20190101
44,충청남도,2,화요일,1,현지인(a),779537.5,20190101
44,충청남도,2,화요일,2,외지인(b),430304.0,20190101
44,충청남도,2,화요일,3,외국인(c),3042.440625,20190101
45,전라북도,2,화요일,1,현지인(a),761355.0,20190101
45,전라북도,2,화요일,3,외국인(c),1243.7419065898919,20190101
42,강원도,2,화요일,1,현지인(a),732676.0,20190101
46,전라남도,2,화요일,1,현지인(a),672836.5,20190101
46,전라남도,2,화요일,3,외국인(c),3554.6383317837713,20190101
47,경상북도,2,화요일,1,현지인(a),1084615.0,20190101
47,경상북도,2,화요일,2,외지인(b),588980.0,20190101
47,경상북도,2,화요일,3,외국인(c),2843.459811275105,20190101
48,경상남도,2,화요일,1,현지인(a),1222347.0,20190101
48,경상남도,2,화요일,2,외지인(b),438354.0,20190101
48,경상남도,2,화요일,3,외국인(c),4224.2319381001225,20190101
50,제주특별자치도,2,화요일,1,현지인(a),418348.0,20190101
50,제주특별자치도,2,화요일,2,외지인(b),132359.5,20190101
50,제주특별자치도,2,화요일,3,외국인(c),13291.191987973121,20190101
46,전라남도,2,화요일,2,외지인(b),345772.0,20190101
41,경기도,2,화요일,3,외국인(c),19774.213404399423,20190101
45,전라북도,2,화요일,2,외지인(b),233782.5,20190101
41,경기도,2,화요일,1,현지인(a),4727310.0,20190101
41,경기도,2,화요일,2,외지인(b),1571881.5,20190101
11,서울특별시,2,화요일,3,외국인(c),78377.71729173762,20190101
26,부산광역시,2,화요일,1,현지인(a),1143506.0,20190101
26,부산광역시,2,화요일,2,외지인(b),448934.5,20190101
26,부산광역시,2,화요일,3,외국인(c),12429.907282998682,20190101
27,대구광역시,2,화요일,1,현지인(a),1025524.5,20190101
27,대구광역시,2,화요일,2,외지인(b),271096.0,20190101
27,대구광역시,2,화요일,3,외국인(c),2189.2830126701056,20190101
28,인천광역시,2,화요일,1,현지인(a),1014443.5,20190101
28,인천광역시,2,화요일,2,외지인(b),497469.0,20190101
28,인천광역시,2,화요일,3,외국인(c),23451.232923734446,20190101
29,광주광역시,2,화요일,1,현지인(a),646107.0,20190101
11,서울특별시,2,화요일,2,외지인(b),1253875.0,20190101
29,광주광역시,2,화요일,3,외국인(c),801.3321273031828,20190101
30,대전광역시,2,화요일,1,현지인(a),612797.5,20190101
30,대전광역시,2,화요일,2,외지인(b),200672.5,20190101
30,대전광역시,2,화요일,3,외국인(c),1000.1214147909969,20190101
31,울산광역시,2,화요일,1,현지인(a),413497.0,20190101
31,울산광역시,2,화요일,2,외지인(b),147063.0,20190101
31,울산광역시,2,화요일,3,외국인(c),1716.181399950531,20190101
36,세종특별자치시,2,화요일,1,현지인(a),91742.0,20190101
36,세종특별자치시,2,화요일,2,외지인(b),54530.0,20190101
36,세종특별자치시,2,화요일,3,외국인(c),247.86068476977576,20190101
29,광주광역시,2,화요일,2,외지인(b),154490.0,20190101
42,강원도,3,수요일,1,현지인(a),839681.5,20190102
45,전라북도,3,수요일,1,현지인(a),859943.0,20190102
44,충청남도,3,수요일,3,외국인(c),2793.0404578047446,20190102
44,충청남도,3,수요일,2,외지인(b),235238.5,20190102
44,충청남도,3,수요일,1,현지인(a),917402.5,20190102
42,강원도,3,수요일,2,외지인(b),238266.0,20190102
43,충청북도,3,수요일,2,외지인(b),173799.5,20190102
43,충청북도,3,수요일,1,현지인(a),714423.5,20190102
42,강원도,3,수요일,3,외국인(c),4667.426033299256,20190102
45,전라북도,3,수요일,2,외지인(b),143521.0,20190102
43,충청북도,3,수요일,3,외국인(c),1300.1027431421455,20190102
45,전라북도,3,수요일,3,외국인(c),1250.8443609022554,20190102
47,경상북도,3,수요일,3,외국인(c),2788.961429483091,20190102
46,전라남도,3,수요일,2,외지인(b),187159.0,20190102
46,전라남도,3,수요일,3,외국인(c),3345.2393569514757,20190102
47,경상북도,3,수요일,1,현지인(a),1239332.5,20190102
47,경상북도,3,수요일,2,외지인(b),294707.0,20190102
48,경상남도,3,수요일,1,현지인(a),1380820.0,20190102
48,경상남도,3,수요일,2,외지인(b),273021.0,20190102
48,경상남도,3,수요일,3,외국인(c),4790.811582626057,20190102
50,제주특별자치도,3,수요일,1,현지인(a),451692.5,20190102
50,제주특별자치도,3,수요일,2,외지인(b),123427.5,20190102
50,제주특별자치도,3,수요일,3,외국인(c),11180.449205085524,20190102
46,전라남도,3,수요일,1,현지인(a),776016.5,20190102
41,경기도,3,수요일,3,외국인(c),19125.207219207892,20190102
29,광주광역시,3,수요일,1,현지인(a),730422.0,20190102
41,경기도,3,수요일,1,현지인(a),5376518.0,20190102
41,경기도,3,수요일,2,외지인(b),1099868.0,20190102
11,서울특별시,3,수요일,2,외지인(b),1236704.0,20190102
11,서울특별시,3,수요일,3,외국인(c),67889.60815708217,20190102
26,부산광역시,3,수요일,1,현지인(a),1269632.0,20190102
26,부산광역시,3,수요일,2,외지인(b),304689.0,20190102
26,부산광역시,3,수요일,3,외국인(c),14336.561147045011,20190102
27,대구광역시,3,수요일,1,현지인(a),1136912.0,20190102
27,대구광역시,3,수요일,2,외지인(b),217444.5,20190102
27,대구광역시,3,수요일,3,외국인(c),1875.3020177093927,20190102
28,인천광역시,3,수요일,1,현지인(a),1122415.0,20190102
28,인천광역시,3,수요일,2,외지인(b),321531.0,20190102
28,인천광역시,3,수요일,3,외국인(c),21638.522862396585,20190102
11,서울특별시,3,수요일,1,현지인(a),4321957.5,20190102
29,광주광역시,3,수요일,2,외지인(b),130536.0,20190102
36,세종특별자치시,3,수요일,2,외지인(b),43883.0,20190102
36,세종특별자치시,3,수요일,1,현지인(a),111933.5,20190102
31,울산광역시,3,수요일,3,외국인(c),1588.2924015529686,20190102
31,울산광역시,3,수요일,2,외지인(b),97247.5,20190102
36,세종특별자치시,3,수요일,3,외국인(c),224.4618985695709,20190102
30,대전광역시,3,수요일,3,외국인(c),942.8968140004479,20190102
30,대전광역시,3,수요일,2,외지인(b),158536.0,20190102
30,대전광역시,3,수요일,1,현지인(a),707301.0,20190102
29,광주광역시,3,수요일,3,외국인(c),1204.3881615598889,20190102
31,울산광역시,3,수요일,1,현지인(a),473522.0,20190102
45,전라북도,4,목요일,2,외지인(b),149786.0,20190103
42,강원도,4,목요일,2,외지인(b),224805.0,20190103
42,강원도,4,목요일,3,외국인(c),4220.31027391885,20190103
43,충청북도,4,목요일,1,현지인(a),717377.5,20190103
43,충청북도,4,목요일,2,외지인(b),190211.0,20190103
43,충청북도,4,목요일,3,외국인(c),1322.716208791208,20190103
44,충청남도,4,목요일,1,현지인(a),923863.5,20190103
44,충청남도,4,목요일,2,외지인(b),248398.5,20190103
44,충청남도,4,목요일,3,외국인(c),2622.7950448526262,20190103
45,전라북도,4,목요일,1,현지인(a),862116.5,20190103
